Date,Start Time,Event ID,Sport,League,Market,Derivative,Event/Match,Bet,Odds,Stake,Bookmaker,Payout,Closing Line,CLV%,Profit/Loss,Notes/Comments,Bet ID#,Result
2025-01-01,21:10,,Basketball,NBA,Player Prop,No,Cade Cunningham (Rebounds),Under 5.5 Rebounds,-105,111,Pinnacle,105.71,,,-111.00,,2041612249,Loss
2025-01-01,23:10,,Basketball,NBA,Player Prop,No,Trae Young (Points),Over 24.5 Points,105,111,Pinnacle,116.55,,,116.55,,2041638029,Win
2025-01-01,23:10,,Basketball,NBA,Spread,No,LiveAtlanta Hawks vs Denver Nuggets,Atlanta Hawks +14.5,131,111,Pinnacle,145.41,,,-111.00,,2041651529,Loss
2025-01-01,23:10,,Basketball,NBA,Spread,No,LiveAtlanta Hawks vs Denver Nuggets,Atlanta Hawks +14.5,131,111,Pinnacle,145.41,,,-111.00,,2041651550,Loss
2025-01-01,23:10,,Basketball,NBA,Spread,No,LiveAtlanta Hawks vs Denver Nuggets,Atlanta Hawks +17.5,100,111,Pinnacle,111,,,-111.00,,2041651953,Loss
2025-01-01,23:00,,Basketball,NCAA,Total,No,LiveBelmont vs Northern Iowa,Over 137.5,-114,222,Pinnacle,194.74,,,194.74,,2041649886,Win
2025-01-01,23:00,,Basketball,NCAA,Total,No,LiveBelmont vs Northern Iowa,Over 137.5,-123,222,Pinnacle,180.49,,,180.49,,2041649930,Win
2025-01-01,21:40,,Basketball,NBA,Total,No,LiveNew Orleans Pelicans vs Miami Heat,Over 222,126,500,Pinnacle,630,,,630.00,,2041641993,Win
2025-01-01,21:40,,Basketball,NBA,Spread,No,LiveNew Orleans Pelicans vs Miami Heat,New Orleans Pelicans +10.5,106,247,Pinnacle,261.82,,,-247.00,,2041643145,Loss
2025-01-01,21:40,,Basketball,NBA,Spread,No,LiveUtah Jazz vs New York Knicks,Utah Jazz +10.5,-124,111,Pinnacle,89.52,,,-111.00,,2041640603,Loss
2025-01-01,21:00,,Basketball,NCAA,Total,No,LiveBradley vs Indiana State,Under 149,-119,222,Pinnacle,186.55,,,-222.00,,2041634907,Loss
2025-01-01,21:10,,Basketball,NBA,Spread,No,LiveChicago Bulls vs Washington Wizards,Chicago Bulls +12.0,113,222,Pinnacle,250.86,,,-222.00,,2041640942,Loss
2025-01-01,,,Basketball,NBA,Spread,Yes,LiveChicago Bulls vs Washington Wizards,Chicago Bulls +13.5,112,222,Pinnacle,248.64,,,-222.00,,2041641027,Loss
2025-01-01,,,Basketball,NBA,Spread,Yes,LiveNew Orleans Pelicans vs Miami Heat,Miami Heat -1.5,116,111,Pinnacle,128.76,,,128.76,,2041633436,Win
2025-01-01,,,Basketball,NCAA,Moneyline,Yes,LiveDrake vs Illinois Chicago,Over 122.5,-109,111,Pinnacle,101.83,,,101.83,,2041607765,Win
2025-01-01,,,Basketball,NCAA,Moneyline,Yes,LiveDrake vs Illinois Chicago,Over 122.5,-111,111,Pinnacle,100,,,100.00,,2041607790,Win
2025-01-02,22:30,,Basketball,NCAA,Spread,No,Eastern Kentucky vs Central Arkansas,Central Arkansas +6.0,113,100,Pinnacle,113,,,,,2041771196,Pending
2025-01-02,22:30,,Basketball,NCAA,Spread,No,Eastern Kentucky vs Central Arkansas,Central Arkansas +6.0,112,50,Pinnacle,56,,,,,2041771287,Pending
2025-01-02,22:30,,Basketball,NCAA,Spread,No,Lindenwood vs Eastern Illinois,Lindenwood +1.5,116,200,Pinnacle,232,,,-200.00,,2041825898,Loss
2025-01-02,22:10,,Basketball,NBA,Total,No,Brooklyn Nets vs Milwaukee Bucks,Milwaukee Bucks - Over 117.5,-101,400,Pinnacle,396.04,,,-400.00,,2041824266,Loss
2025-01-02,22:00,,Basketball,NCAA,Spread,No,LiveIdaho State vs Northern Arizona,Idaho State +12.5,-111,111,Pinnacle,100,,,100.00,,2041840400,Win
2025-01-02,22:00,,Basketball,NCAA,Total,No,LiveIdaho State vs Northern Arizona,Over 129.5,-109,119,Pinnacle,109.17,,,109.17,,2041840727,Win
2025-01-02,22:30,,Basketball,NCAA,Total,Yes,Southern Indiana vs Tennessee Tech,Under 68.5,104,50,Pinnacle,52,,,-50.00,,2041807640,Loss
2025-01-02,22:00,,Basketball,NCAA,Spread,Yes,Weber State vs Northern Colorado,Weber State +3.5,111,120,Pinnacle,133.2,,,-120.00,,2041738301,Loss
2025-01-02,15:00,,Basketball,NCAA,Moneyline,Yes,Gardner Webb vs Charleston Southern,Gardner Webb,-100,100,Pinnacle,100,,,-100.00,,2041752252,Loss
2025-01-03,23:10,,Basketball,NBA,Player Prop,No,Victor Wembanyama (Pts+Rebs+Asts),Over 41.5 Points+Rebs+Assists,-115,150,Pinnacle,130.43,,,130.43,,2041975246,Win
2025-01-03,23:10,,Basketball,NBA,Player Prop,No,Nikola Jokic (Points),Over 28.5 Points,-109,100,Pinnacle,91.74,,,91.74,,2041973773,Win
2025-01-03,21:10,,Basketball,NBA,Spread,No,LiveCharlotte Hornets vs Detroit Pistons,Charlotte Hornets +5.5,-106,111,Pinnacle,104.72,,,104.72,,2042108424,Win
2025-01-03,0:00,,Basketball,NCAA,Total,No,LiveCS Northridge vs CS Fullerton,Over 150,-109,222,Pinnacle,203.67,,,203.67,,2041851690,Win
2025-01-03,0:00,,Basketball,NCAA,Total,No,LiveSan Francisco vs Pacific,Under 144.5,-109,111,Pinnacle,101.83,,,-111.00,,2041850249,Loss
2025-01-03,0:00,,Basketball,NCAA,Total,No,LiveOregon State vs Loyola Marymount,Under 158,-114,106,Pinnacle,92.98,,,92.98,,2041852217,Win
2025-01-04,21:00,,Basketball,NCAA,Total,No,LiveYoungstown State vs IPFW,Over 140,-109,200,Pinnacle,183.49,,,183.49,,2042479709,Win
2025-01-04,20:00,,Basketball,NCAA,Total,No,LiveSan Jose State vs UNLV,Over 131.5,-113,200,Pinnacle,176.99,,,176.99,,2042470124,Win
2025-01-04,13:00,,Basketball,NCAA,Spread,No,Buffalo vs Liberty,Buffalo -3.0,-102,150,Pinnacle,147.06,,,147.06,,2041730590,Win
2025-01-04,14:00,,Basketball,NCAA,Total,No,LiveToledo vs Western Michigan,Over 148.5,-106,200,Pinnacle,188.68,,,-200.00,,2042388049,Loss
2025-01-04,0:10,,Basketball,NBA,Player Prop,No,Desmond Bane (Assists),Under 6.5 Assists,-120,100,Pinnacle,83.33,,,-100.00,,2041972598,Loss
